phrase_id,tune,tune_id,start_segment_idx,end_segment_idx,segment_count,start_measure,end_measure,start_timestamp_ms,end_timestamp_ms,duration_ms,mean_iv_sum,max_iv_sum,min_iv_sum,std_iv_sum,mean_dissonance,std_dissonance,mean_iv_distance,rest_duration_quarters
0,Barbados,1p64c,0,0,1,1,1,0.0,0.0,0.0,6.0,6,6,,2.0,,0.0,0.5
1,Barbados,1p64c,1,4,4,2,4,2000.0,6000.0,4000.0,6.75,15,3,5.678908345800274,2.15,1.1387127235025813,3.522737437777388,0.5
2,Barbados,1p64c,5,6,2,4,5,7000.0,8000.0,1000.0,6.0,6,6,0.0,1.9,0.5656854249492379,1.4142135623730951,1.0
3,Barbados,1p64c,7,7,1,6,6,10000.0,10000.0,0.0,15.0,15,15,,3.8,,4.358898943540674,1.0
4,Barbados,1p64c,8,8,1,8,8,14000.0,14000.0,0.0,3.0,3,3,,1.5,,5.830951894845301,0.5
5,Barbados,1p64c,9,9,1,9,9,16000.0,16000.0,0.0,10.0,10,10,,2.5,,3.872983346207417,0.5
6,Barbados,1p64c,10,11,2,10,11,18000.0,20000.0,2000.0,4.5,6,3,2.1213203435596424,1.65,0.49497474683058323,3.297483460520232,0.5
7,Barbados,1p64c,12,12,1,12,12,22000.0,22000.0,0.0,3.0,3,3,,1.5,,1.7320508075688772,0.5
8,Barbados,1p64c,13,14,2,12,13,23000.0,24000.0,1000.0,6.0,6,6,0.0,2.0,0.0,1.5731321849709863,0.5
9,Barbados,1p64c,15,18,4,14,16,26000.0,30000.0,4000.0,6.75,15,3,5.678908345800274,2.15,1.1387127235025813,3.522737437777388,0.5
10,Barbados,1p64c,19,20,2,16,17,31000.0,32000.0,1000.0,6.0,6,6,0.0,1.9,0.5656854249492379,1.4142135623730951,1.0
11,Barbados,1p64c,21,21,1,18,18,34000.0,34000.0,0.0,15.0,15,15,,3.8,,4.358898943540674,1.0
12,Barbados,1p64c,22,22,1,20,20,38000.0,38000.0,0.0,3.0,3,3,,1.5,,5.830951894845301,0.5
13,Barbados,1p64c,23,23,1,21,21,40000.0,40000.0,0.0,10.0,10,10,,2.5,,3.872983346207417,0.5
14,Barbados,1p64c,24,25,2,22,23,42000.0,44000.0,2000.0,4.5,6,3,2.1213203435596424,1.65,0.49497474683058323,3.297483460520232,0.5
