id,tune,segment_idx,measure,beat,chord_symbol,chord_function,key,iv,ic1,ic2,ic3,ic4,ic5,ic6,iv_sum,forte_class,cardinality,note_count,pitch_classes,relative_pcs,timestamp_ms,dissonance,iv_distance,iv_sum_norm,dissonance_norm,iv_distance_norm
1p64c,Barbados,0,1,0.0,F,I,F major,(122010),1,2,2,0,1,0,6,4-10,4,4,"[0, 7, 9, 10]","[2, 4, 5, 7]",0.0,2.0,0.0,0.057692307692307696,0.10526315789473684,0.0
1p64c,Barbados,1,2,0.0,G,II,F major,(111000),1,1,1,0,0,0,3,3-2A,3,3,"[0, 9, 10]","[2, 3, 5]",2000.0,1.5,1.7320508075688772,0.0,0.07894736842105263,0.10350983390135313
1p64c,Barbados,2,2,2.0,C,V,F major,(010101),0,1,0,1,0,1,3,3-8A,3,3,"[1, 7, 9]","[1, 7, 9]",3000.0,1.3,2.0,0.0,0.06842105263157895,0.11952286093343936
1p64c,Barbados,3,3,0.0,F,I,F major,(143241),1,4,3,2,4,1,15,6-33B,6,8,"[0, 2, 4, 5, 7, 10]","[0, 2, 5, 7, 9, 11]",4000.0,3.8,6.0,0.23076923076923078,0.19999999999999998,0.35856858280031806
1p64c,Barbados,4,4,0.0,C,V,F major,(121110),1,2,1,1,1,0,6,4-11A,4,4,"[0, 2, 9, 10]","[0, 2, 9, 10]",6000.0,2.0,4.358898943540674,0.057692307692307696,0.10526315789473684,0.26049403612586386
1p64c,Barbados,5,4,2.0,F,I,F major,(111111),1,1,1,1,1,1,6,4-29A,4,4,"[2, 3, 5, 9]","[0, 4, 9, 10]",7000.0,2.3,1.4142135623730951,0.057692307692307696,0.12105263157894736,0.08451542547285167
1p64c,Barbados,6,5,0.0,B-,IV,F major,(111120),1,1,1,1,2,0,6,4-14A,4,5,"[0, 5, 7, 8]","[2, 7, 9, 10]",8000.0,1.5,1.4142135623730951,0.057692307692307696,0.07894736842105263,0.08451542547285167
1p64c,Barbados,7,6,0.0,B-,IV,F major,(143241),1,4,3,2,4,1,15,6-33B,6,8,"[0, 3, 5, 7, 9, 10]","[0, 2, 5, 7, 9, 11]",10000.0,3.8,4.358898943540674,0.23076923076923078,0.19999999999999998,0.26049403612586386
1p64c,Barbados,8,8,0.0,F,I,F major,(111000),1,1,1,0,0,0,3,3-2A,3,6,"[0, 9, 10]","[4, 5, 7]",14000.0,1.5,5.830951894845301,0.0,0.07894736842105263,0.3484660262185848
1p64c,Barbados,9,9,0.0,G,II,F major,(132130),1,3,2,1,3,0,10,5-23B,5,7,"[0, 5, 7, 9, 10]","[0, 2, 3, 5, 10]",16000.0,2.5,3.872983346207417,0.1346153846153846,0.13157894736842105,0.23145502494313788
1p64c,Barbados,10,10,0.0,C,V,F major,(010101),0,1,0,1,0,1,3,3-8A,3,4,"[1, 7, 9]","[1, 7, 9]",18000.0,1.3,4.358898943540674,0.0,0.06842105263157895,0.26049403612586386
1p64c,Barbados,11,11,0.0,F,I,F major,(121110),1,2,1,1,1,0,6,4-11A,4,7,"[4, 5, 7, 9]","[0, 2, 4, 11]",20000.0,2.0,2.23606797749979,0.057692307692307696,0.10526315789473684,0.1336306209562122
1p64c,Barbados,12,12,0.0,G,II,F major,(111000),1,1,1,0,0,0,3,3-2A,3,3,"[4, 5, 7]","[0, 9, 10]",22000.0,1.5,1.7320508075688772,0.0,0.07894736842105263,0.10350983390135313
1p64c,Barbados,13,12,2.0,C,V,F major,(121110),1,2,1,1,1,0,6,4-11A,4,4,"[4, 5, 7, 9]","[4, 5, 7, 9]",23000.0,2.0,1.7320508075688772,0.057692307692307696,0.10526315789473684,0.10350983390135313
1p64c,Barbados,14,13,0.0,F,I,F major,(122010),1,2,2,0,1,0,6,4-10,4,4,"[0, 7, 9, 10]","[2, 4, 5, 7]",24000.0,2.0,1.4142135623730951,0.057692307692307696,0.10526315789473684,0.08451542547285167
1p64c,Barbados,15,14,0.0,G,II,F major,(111000),1,1,1,0,0,0,3,3-2A,3,3,"[0, 9, 10]","[2, 3, 5]",26000.0,1.5,1.7320508075688772,0.0,0.07894736842105263,0.10350983390135313
1p64c,Barbados,16,14,2.0,C,V,F major,(010101),0,1,0,1,0,1,3,3-8A,3,3,"[1, 7, 9]","[1, 7, 9]",27000.0,1.3,2.0,0.0,0.06842105263157895,0.11952286093343936
1p64c,Barbados,17,15,0.0,F,I,F major,(143241),1,4,3,2,4,1,15,6-33B,6,8,"[0, 2, 4, 5, 7, 10]","[0, 2, 5, 7, 9, 11]",28000.0,3.8,6.0,0.23076923076923078,0.19999999999999998,0.35856858280031806
1p64c,Barbados,18,16,0.0,C,V,F major,(121110),1,2,1,1,1,0,6,4-11A,4,4,"[0, 2, 9, 10]","[0, 2, 9, 10]",30000.0,2.0,4.358898943540674,0.057692307692307696,0.10526315789473684,0.26049403612586386
1p64c,Barbados,19,16,2.0,F,I,F major,(111111),1,1,1,1,1,1,6,4-29A,4,4,"[2, 3, 5, 9]","[0, 4, 9, 10]",31000.0,2.3,1.4142135623730951,0.057692307692307696,0.12105263157894736,0.08451542547285167
1p64c,Barbados,20,17,0.0,B-,IV,F major,(111120),1,1,1,1,2,0,6,4-14A,4,5,"[0, 5, 7, 8]","[2, 7, 9, 10]",32000.0,1.5,1.4142135623730951,0.057692307692307696,0.07894736842105263,0.08451542547285167
1p64c,Barbados,21,18,0.0,B-,IV,F major,(143241),1,4,3,2,4,1,15,6-33B,6,8,"[0, 3, 5, 7, 9, 10]","[0, 2, 5, 7, 9, 11]",34000.0,3.8,4.358898943540674,0.23076923076923078,0.19999999999999998,0.26049403612586386
1p64c,Barbados,22,20,0.0,F,I,F major,(111000),1,1,1,0,0,0,3,3-2A,3,6,"[0, 9, 10]","[4, 5, 7]",38000.0,1.5,5.830951894845301,0.0,0.07894736842105263,0.3484660262185848
1p64c,Barbados,23,21,0.0,G,II,F major,(132130),1,3,2,1,3,0,10,5-23B,5,7,"[0, 5, 7, 9, 10]","[0, 2, 3, 5, 10]",40000.0,2.5,3.872983346207417,0.1346153846153846,0.13157894736842105,0.23145502494313788
1p64c,Barbados,24,22,0.0,C,V,F major,(010101),0,1,0,1,0,1,3,3-8A,3,4,"[1, 7, 9]","[1, 7, 9]",42000.0,1.3,4.358898943540674,0.0,0.06842105263157895,0.26049403612586386
1p64c,Barbados,25,23,0.0,F,I,F major,(121110),1,2,1,1,1,0,6,4-11A,4,7,"[4, 5, 7, 9]","[0, 2, 4, 11]",44000.0,2.0,2.23606797749979,0.057692307692307696,0.10526315789473684,0.1336306209562122
1p64c,Barbados,26,24,0.0,G,II,F major,(111000),1,1,1,0,0,0,3,3-2A,3,3,"[4, 5, 7]","[0, 9, 10]",46000.0,1.5,1.7320508075688772,0.0,0.07894736842105263,0.10350983390135313
1p64c,Barbados,27,24,2.0,C,V,F major,(121110),1,2,1,1,1,0,6,4-11A,4,4,"[4, 5, 7, 9]","[4, 5, 7, 9]",47000.0,2.0,1.7320508075688772,0.057692307692307696,0.10526315789473684,0.10350983390135313
1p64c,Barbados,28,25,0.0,F,I,F major,(122230),1,2,2,2,3,0,10,5-27A,5,10,"[0, 2, 5, 9, 10]","[0, 4, 5, 7, 9]",48000.0,2.0,2.449489742783178,0.1346153846153846,0.10526315789473684,0.14638501094227996
1p64c,Barbados,29,26,0.0,G,II,F major,(122230),1,2,2,2,3,0,10,5-27A,5,6,"[0, 2, 5, 9, 10]","[2, 3, 5, 7, 10]",50000.0,2.0,0.0,0.1346153846153846,0.10526315789473684,0.0
1p64c,Barbados,30,26,2.0,C,V,F major,(020301),0,2,0,3,0,1,6,4-24,4,5,"[0, 4, 8, 10]","[0, 4, 8, 10]",51000.0,1.8,4.0,0.057692307692307696,0.09473684210526316,0.23904572186687872
1p64c,Barbados,31,27,0.0,F,I,F major,(012120),0,1,2,1,2,0,6,4-26,4,7,"[0, 2, 5, 9]","[0, 4, 7, 9]",52000.0,0.5,3.7416573867739413,0.057692307692307696,0.02631578947368421,0.22360679774997896
1p64c,Barbados,32,28,0.0,C,V,F major,(012120),0,1,2,1,2,0,6,4-26,4,4,"[0, 3, 7, 10]","[0, 3, 7, 10]",54000.0,0.5,0.0,0.057692307692307696,0.02631578947368421,0.0
1p64c,Barbados,33,28,2.0,F,I,F major,(321000),3,2,1,0,0,0,6,4-1,4,4,"[0, 1, 2, 11]","[6, 7, 8, 9]",55000.0,4.0,4.0,0.057692307692307696,0.21052631578947367,0.23904572186687872
