id,title,artist,album
1p64c,Barbados,Charlie Parker,Charlie Parker Omnibook
2RfYc,Laird Baird,Charlie Parker,Charlie Parker Omnibook
3RfYc,Marmaduke,Charlie Parker,Charlie Parker Omnibook
3zn4c,Anthropology,Charlie Parker,Charlie Parker Omnibook
6Cbwc,Dewey Square,Charlie Parker,Charlie Parker Omnibook
73bwc,Diverse,Charlie Parker,Charlie Parker Omnibook
7RfYc,Mohawk (No. 1),Charlie Parker,Charlie Parker Omnibook
7XTyc,Celebrity,Charlie Parker,Charlie Parker Omnibook
9RfYc,Now's the Time (No. 2),Charlie Parker,Charlie Parker Omnibook
9THwc,Cosmic Rays,Charlie Parker,Charlie Parker Omnibook
BRfYc,Moose the Mooche,Charlie Parker,Charlie Parker Omnibook
D3fYc,Yardbird Suite,Charlie Parker,Charlie Parker Omnibook
FRfYc,Relaxing With Lee,Charlie Parker,Charlie Parker Omnibook
GRfYc,Shaw 'Nuff,Charlie Parker,Charlie Parker Omnibook
KRfYc,Ornithology,Charlie Parker,Charlie Parker Omnibook
LRfYc,My Little Suede Shoes,Charlie Parker,Charlie Parker Omnibook
N3fYc,Visa,Charlie Parker,Charlie Parker Omnibook
N8swc,Kim (No. 1),Charlie Parker,Charlie Parker Omnibook
Nqn4c,Au Privave (No. 2),Charlie Parker,Charlie Parker Omnibook
PRfYc,Now's The Time (No. 1),Charlie Parker,Charlie Parker Omnibook
Pq3yc,Bird Gets the Worm,Charlie Parker,Charlie Parker Omnibook
Q6Ryc,Billie's Bounce,Charlie Parker,Charlie Parker Omnibook
QRfYc,Perhaps,Charlie Parker,Charlie Parker Omnibook
Qrqyc,Blues For Alice,Charlie Parker,Charlie Parker Omnibook
Rln4c,Another Hairdo,Charlie Parker,Charlie Parker Omnibook
S1swc,K.C. Blues,Charlie Parker,Charlie Parker Omnibook
S5VYc,Kim (No. 2),Charlie Parker,Charlie Parker Omnibook
SRfYc,Thriving on a Riff,Charlie Parker,Charlie Parker Omnibook
V3fYc,Warming up a Riff,Charlie Parker,Charlie Parker Omnibook
WG3yc,Bloomdido,Charlie Parker,Charlie Parker Omnibook
WRfYc,Mohawk (No. 2),Charlie Parker,Charlie Parker Omnibook
WS64c,Back Home Blues,Charlie Parker,Charlie Parker Omnibook
cXbwc,Donna Lee,Charlie Parker,Charlie Parker Omnibook
gRfYb,Segment,Charlie Parker,Charlie Parker Omnibook
lTXyc,Bluebird,Charlie Parker,Charlie Parker Omnibook
mRfYc,Steeplechase,Charlie Parker,Charlie Parker Omnibook
mTHyc,Buzzy,Charlie Parker,Charlie Parker Omnibook
myn4c,An Oscar For Treadwell,Charlie Parker,Charlie Parker Omnibook
nRfYc,Red Cross,Charlie Parker,Charlie Parker Omnibook
nvJyc,Chasing the Bird,Charlie Parker,Charlie Parker Omnibook
rCn4c,Au Privave (No. 1),Charlie Parker,Charlie Parker Omnibook
rRfYc,Si Si,Charlie Parker,Charlie Parker Omnibook
t66yc,Cheryl,Charlie Parker,Charlie Parker Omnibook
tCfYc,Ko Ko,Charlie Parker,Charlie Parker Omnibook
tRfYc,Scrapple From the Apple,Charlie Parker,Charlie Parker Omnibook
vRfYc,The Bird,Charlie Parker,Charlie Parker Omnibook
wkTyc,Cardboard,Charlie Parker,Charlie Parker Omnibook
wv3wc,Chi Chi,Charlie Parker,Charlie Parker Omnibook
xRfYc,Passport,Charlie Parker,Charlie Parker Omnibook
yp3wc,Confirmation,Charlie Parker,Charlie Parker Omnibook
